Ian Maddieson. 2013. Presence of Uncommon Consonants.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/19, Accessed on 2025-05-05.)

wals code	name	value	description	latitude	longitude	genus	family	area
knd	Kannada	1	None	14.0	76.0	Dravidian	Dravidian	Phonology
knr	Kanuri	1	None	12.0	13.0	Western Saharan	Saharan	Phonology
ksg	Karen (Sgaw)	5	'Th' sounds	18.0	97.0	Karen	Sino-Tibetan	Phonology
krk	Karok	1	None	41.6666666667	-123.0	Karok	Hokan	Phonology
kas	Kashmiri	1	None	34.0	76.0	Indic	Indo-European	Phonology
kws	Kawaiisu	1	None	36.0	-117.5	Northern Uto-Aztecan	Uto-Aztecan	Phonology
kyl	Kayah Li (Eastern)	1	None	19.0	97.5	Karen	Sino-Tibetan	Phonology
kay	Kayardild	1	None	-17.05	139.5	Tangkic	Tangkic	Phonology
ked	Kedang	1	None	-8.25	123.75	Central Malayo-Polynesian	Austronesian	Phonology
kef	Kefa	1	None	7.25	36.25	Ta-Ne-Omotic	Afro-Asiatic	Phonology
ker	Kera	1	None	9.83333333333	15.0833333333	East Chadic	Afro-Asiatic	Phonology
ket	Ket	1	None	64.0	87.0	Yeniseian	Yeniseian	Phonology
kew	Kewa	1	None	-6.5	143.833333333	Enga_Kewa-Huli	Trans-New Guinea	Phonology
kha	Khalkha	1	None	47.0	105.0	Mongolic	Altaic	Phonology
kty	Khanty	1	None	65.0	65.0	Ugric	Uralic	Phonology
khr	Kharia	1	None	22.5	84.3333333333	Munda	Austro-Asiatic	Phonology
khs	Khasi	1	None	25.5	92.0	Khasian	Austro-Asiatic	Phonology
khm	Khmer	1	None	12.5	105.0	Khmer	Austro-Asiatic	Phonology
kmu	Khmu'	1	None	21.0	102.0	Khmuic	Austro-Asiatic	Phonology
klv	Kilivila	1	None	-8.5	151.083333333	Oceanic	Austronesian	Phonology
kio	Kiowa	1	None	37.0	-99.0	Kiowa-Tanoan	Kiowa-Tanoan	Phonology
kgz	Kirghiz	1	None	42.0	75.0	Turkic	Altaic	Phonology
krb	Kiribati	1	None	1.33333333333	173.0	Oceanic	Austronesian	Phonology
kss	Kisi (Southern)	3	Labial-velars	8.5	-10.25	Southern Mel	Niger-Congo	Phonology
kiw	Kiwai (Southern)	1	None	-8.0	143.5	Kiwaian	Trans-New Guinea	Phonology
klm	Klamath	1	None	42.5	-121.5	Klamath-Modoc	Penutian	Phonology
kla	Klao	3	Labial-velars	4.75	-8.75	Kru	Niger-Congo	Phonology
koa	Koasati	1	None	34.8333333333	-85.1666666667	Muskogean	Muskogean	Phonology
kob	Kobon	1	None	-5.16666666667	144.333333333	Kalam-Kobon	Trans-New Guinea	Phonology
koh	Kohumono	3	Labial-velars	6.0	8.11666666667	Upper Cross	Niger-Congo	Phonology
koi	Koiari	1	None	-9.5	147.333333333	Koiarian	Trans-New Guinea	Phonology
kzy	Komi-Zyrian	1	None	65.0	55.0	Permic	Uralic	Phonology
kom	Komo	1	None	8.75	33.75	Koman	Koman	Phonology
kkn	Konkani	1	None	15.25	74.0	Indic	Indo-European	Phonology
kgi	Konyagi	1	None	12.5	-13.25	Tenda	Niger-Congo	Phonology
kor	Korean	1	None	37.5	128.0	Korean	Korean	Phonology
kfe	Koromfe	1	None	14.25	-0.916666666667	Koromfe	Niger-Congo	Phonology
kry	Koryak	1	None	61.0	167.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Phonology
kot	Kota	1	None	11.5	77.1666666667	Dravidian	Dravidian	Phonology
ktk	Kotoko	3	Labial-velars	11.3333333333	15.3333333333	Biu-Mandara	Afro-Asiatic	Phonology
koy	Koya	1	None	17.5	81.3333333333	Dravidian	Dravidian	Phonology
kch	Koyra Chiini	1	None	17.0	-3.0	Songhay	Songhay	Phonology
kse	Koyraboro Senni	1	None	16.0	0.0	Songhay	Songhay	Phonology
kpa	Kpan	3	Labial-velars	7.58333333333	10.1666666667	Jukunoid	Niger-Congo	Phonology
kpe	Kpelle	3	Labial-velars	7.0	-10.0	Western Mande	Mande	Phonology
kro	Krongo	1	None	10.5	30.0	Kadugli	Kadu	Phonology
kya	Kuku-Yalanji	1	None	-16.0	145.0	Northern Pama-Nyungan	Pama-Nyungan	Phonology
kul	Kullo	1	None	6.75	37.0833333333	Ta-Ne-Omotic	Afro-Asiatic	Phonology
kun	Kuna	1	None	8.0	-77.3333333333	Kuna	Chibchan	Phonology
knm	Kunama	1	None	14.5	37.0	Kunama	Kunama	Phonology
kmp	Kunimaipa	1	None	-8.0	146.833333333	Core Goilalan	Trans-New Guinea	Phonology
krd	Kurdish (Central)	4	Pharyngeals	36.0	44.0	Iranian	Indo-European	Phonology
kur	Kurukh	1	None	22.8333333333	85.5	Dravidian	Dravidian	Phonology
kut	Kutenai	1	None	49.5	-116.0	Kutenai	Kutenai	Phonology
kwa	Kwaio	1	None	-8.95	161.0	Oceanic	Austronesian	Phonology
kwk	Kwakw'ala	1	None	51.0	-127.0	Northern Wakashan	Wakashan	Phonology
kwo	Kwoma	1	None	-4.16666666667	142.75	Nukuma	Sepik	Phonology
lad	Ladakhi	1	None	34.0	78.0	Bodic	Sino-Tibetan	Phonology
lah	Lahu	1	None	20.0	98.1666666667	Burmese-Lolo	Sino-Tibetan	Phonology
lak	Lak	4	Pharyngeals	42.1666666667	47.1666666667	Lak	Nakh-Daghestanian	Phonology
lkt	Lakhota	1	None	43.8333333333	-101.833333333	Mississippi Valley Siouan	Siouan	Phonology
lkk	Lakkia	5	'Th' sounds	24.0833333333	110.166666667	Kadai	Tai-Kadai	Phonology
lam	Lamé	1	None	9.0	14.5	Masa	Afro-Asiatic	Phonology
lan	Lango	1	None	2.16666666667	33.0	Western Nilotic	Eastern Sudanic	Phonology
lat	Latvian	1	None	57.0	24.0	Baltic	Indo-European	Phonology
lav	Lavukaleve	1	None	-9.08333333333	159.2	Lavukaleve	Solomons East Papuan	Phonology
llm	Lelemi	3	Labial-velars	7.33333333333	0.5	Na-Togo	Niger-Congo	Phonology
len	Lenakel	1	None	-19.45	169.25	Oceanic	Austronesian	Phonology
lep	Lepcha	1	None	27.1666666667	88.5	Himalayish	Sino-Tibetan	Phonology
lez	Lezgian	1	None	41.6666666667	47.8333333333	Lezgic	Nakh-Daghestanian	Phonology
lit	Lithuanian	1	None	55.0	24.0	Baltic	Indo-European	Phonology
lua	Lua	1	None	9.75	17.75	Bua	Niger-Congo	Phonology
lug	Lugbara	3	Labial-velars	3.08333333333	30.9166666667	Moru-Ma'di	Central Sudanic	Phonology
lui	Luiseño	1	None	33.3333333333	-117.166666667	Northern Uto-Aztecan	Uto-Aztecan	Phonology
luo	Luo	1	None	-0.5	34.75	Western Nilotic	Eastern Sudanic	Phonology
lus	Lushootseed	1	None	48.0	-122.0	Central Salish	Salishan	Phonology
kkv	Lusi	1	None	-5.58333333333	149.666666667	Oceanic	Austronesian	Phonology
luv	Luvale	1	None	-12.0	22.0	Bantu	Niger-Congo	Phonology
lu	Lü	1	None	22.0	100.666666667	Kam-Tai	Tai-Kadai	Phonology
mya	Ma'ya	1	None	-1.25	130.916666667	South Halmahera - West New Guinea	Austronesian	Phonology
maa	Maasai	1	None	-3.0	36.0	Eastern Nilotic	Eastern Sudanic	Phonology
mab	Maba	1	None	13.75	20.8333333333	Maban	Maban	Phonology
mne	Maidu (Northeast)	1	None	40.0	-120.666666667	Maiduan	Penutian	Phonology
mak	Makah	1	None	48.3333333333	-124.666666667	Southern Wakashan	Wakashan	Phonology
mal	Malagasy	1	None	-20.0	47.0	Barito	Austronesian	Phonology
mlk	Malakmalak	1	None	-13.4166666667	130.416666667	Northern Daly	Northern Daly	Phonology
mla	Mambila	1	None	6.75	11.5	Mambiloid	Niger-Congo	Phonology
mnc	Manchu	1	None	49.5	127.5	Tungusic	Altaic	Phonology
mnd	Mandarin	1	None	34.0	110.0	Chinese	Sino-Tibetan	Phonology
myi	Mangarrayi	1	None	-14.6666666667	133.5	Mangarrayi	Mangarrayi-Maran	Phonology
mgg	Mangghuer	1	None	36.0	102.0	Mongolic	Altaic	Phonology
mao	Maori	1	None	-40.0	176.0	Oceanic	Austronesian	Phonology
map	Mapudungun	5	'Th' sounds	-38.0	-72.0	Araucanian	Araucanian	Phonology
mrn	Maranao	1	None	7.83333333333	124.25	Greater Central Philippine	Austronesian	Phonology
mku	Maranungku	1	None	-13.6666666667	130.0	Wagaydy	Western Daly	Phonology
mrg	Margi	1	None	11.0	13.0	Biu-Mandara	Afro-Asiatic	Phonology
mme	Mari (Meadow)	5	'Th' sounds	57.0	48.0	Mari	Uralic	Phonology
mar	Maricopa	5	'Th' sounds	33.1666666667	-113.166666667	Yuman	Hokan	Phonology
mrd	Marind	1	None	-7.83333333333	140.166666667	Marind-Yaqay	Trans-New Guinea	Phonology
mrt	Martuthunira	1	None	-20.8333333333	116.5	Western Pama-Nyungan	Pama-Nyungan	Phonology
mau	Maung	1	None	-11.9166666667	133.5	Iwaidjan	Iwaidjan	Phonology
max	Maxakalí	1	None	-18.0	-40.0	Maxakalian	Macro-Ge	Phonology
may	Maybrat	1	None	-1.33333333333	132.5	Maybrat	Maybrat	Phonology
maz	Mazahua	1	None	19.4166666667	-99.9166666667	Otomian	Oto-Manguean	Phonology
mzc	Mazatec (Chiquihuitlán)	1	None	17.75	-96.9166666667	Popolocan	Oto-Manguean	Phonology
mba	Mba	3	Labial-velars	1.0	25.0	Ubangi	Niger-Congo	Phonology
mbb	Mbabaram	1	None	-17.1666666667	145.0	Northern Pama-Nyungan	Pama-Nyungan	Phonology
mbm	Mbum	3	Labial-velars	7.75	13.1666666667	Mbumic	Niger-Congo	Phonology
mei	Meithei	1	None	24.75	94.0	Manipuri	Sino-Tibetan	Phonology
mie	Mien	1	None	25.0	111.0	Mienic	Hmong-Mien	Phonology
hok	Min (Southern)	1	None	25.0	118.0	Chinese	Sino-Tibetan	Phonology
mss	Miwok (Southern Sierra)	1	None	37.5	-120.0	Miwok	Penutian	Phonology
mtp	Mixe (Totontepec)	1	None	17.25	-96.0	Mixe-Zoque	Mixe-Zoque	Phonology
mxc	Mixtec (Chalcatongo)	5	'Th' sounds	17.05	-97.5833333333	Mixtec	Oto-Manguean	Phonology
mxm	Mixtec (Molinos)	5	'Th' sounds	17.0	-97.5833333333	Mixtec	Oto-Manguean	Phonology
mog	Moghol	1	None	35.0	62.0	Mongolic	Altaic	Phonology
mor	Mor	1	None	-2.95	135.75	South Halmahera - West New Guinea	Austronesian	Phonology
mro	Moro	5	'Th' sounds	11.0	30.1666666667	Heiban	Kordofanian	Phonology
mov	Movima	1	None	-13.8333333333	-65.6666666667	Movima	Movima	Phonology
mui	Muinane	1	None	-1.0	-72.5	Boran	Boran	Phonology
mum	Mumuye	3	Labial-velars	9.0	11.6666666667	Mumuye-Yandang	Niger-Congo	Phonology
mun	Mundari	1	None	23.0	84.6666666667	Munda	Austro-Asiatic	Phonology
mrl	Murle	5	'Th' sounds	6.5	33.5	South Surmic	Eastern Sudanic	Phonology
mpa	Murrinh-Patha	1	None	-14.6666666667	129.666666667	Murrinh-Patha	Southern Daly	Phonology
nhn	Nahuatl (North Puebla)	1	None	20.0	-98.25	Aztecan	Uto-Aztecan	Phonology
nht	Nahuatl (Tetelcingo)	1	None	19.6666666667	-99.0	Aztecan	Uto-Aztecan	Phonology
kho	Nama	2	Clicks	-25.5	18.0	Khoe-Kwadi	Khoe-Kwadi	Phonology
nmb	Nambikuára (Southern)	1	None	-14.0	-59.5	Nambikuaran	Nambikuaran	Phonology
nai	Nanai	1	None	49.5	137.0	Tungusic	Altaic	Phonology
nnc	Nancowry	1	None	8.05	93.5	Nicobarese	Austro-Asiatic	Phonology
nan	Nandi	1	None	0.25	35.0	Eastern Nilotic	Eastern Sudanic	Phonology
nar	Nara (in Ethiopia)	1	None	15.0833333333	37.5833333333	Nara	Eastern Sudanic	Phonology
nas	Nasioi	1	None	-6.33333333333	155.583333333	South Bougainville	South Bougainville	Phonology
nbk	Natügu	1	None	-10.7833333333	165.866666667	Oceanic	Austronesian	Phonology
nav	Navajo	1	None	36.1666666667	-108.0	Athapaskan	Na-Dene	Phonology
nax	Naxi	1	None	27.5	100.0	Na-Qiangic	Sino-Tibetan	Phonology
ndt	Ndut	1	None	14.9166666667	-16.9166666667	Cangin	Niger-Congo	Phonology
ndy	Ndyuka	1	None	4.5	-54.5	Creoles and Pidgins	other	Phonology
ntu	Nenets	7	Pharyngeals and "th"	70.0	76.0	Samoyedic	Uralic	Phonology
nap	Neo-Aramaic (Persian Azerbaijan)	1	None	38.0	47.0	Semitic	Afro-Asiatic	Phonology
nep	Nepali	1	None	28.0	85.0	Indic	Indo-European	Phonology
new	Newari (Kathmandu)	1	None	27.6666666667	85.5	Himalayish	Sino-Tibetan	Phonology
nez	Nez Perce	1	None	46.0	-116.0	Sahaptian	Penutian	Phonology
nga	Nganasan	5	'Th' sounds	71.0	93.0	Samoyedic	Uralic	Phonology
nti	Ngiti	3	Labial-velars	1.33333333333	30.25	Lendu	Central Sudanic	Phonology
ngi	Ngiyambaa	5	'Th' sounds	-31.75	145.5	Southeastern Pama-Nyungan	Pama-Nyungan	Phonology
ngz	Ngizim	1	None	12.0833333333	10.9166666667	West Chadic	Afro-Asiatic	Phonology
nim	Nimboran	1	None	-2.5	140.166666667	Nimboran	Nimboran	Phonology
chu	Nivacle	1	None	-23.5	-60.5	Matacoan	Matacoan	Phonology
niv	Nivkh	1	None	53.3333333333	142.0	Nivkh	Nivkh	Phonology
nko	Nkore-Kiga	1	None	-0.916666666667	29.8333333333	Bantu	Niger-Congo	Phonology
nob	Nobiin	1	None	21.0	31.0	Nubian	Eastern Sudanic	Phonology
non	Noni	1	None	6.41666666667	10.5833333333	Beboid	Niger-Congo	Phonology
nor	Norwegian	1	None	61.0	8.0	Germanic	Indo-European	Phonology
nun	Nung (in Vietnam)	1	None	21.9166666667	106.416666667	Kam-Tai	Tai-Kadai	Phonology
nug	Nunggubuyu	1	None	-13.75	135.666666667	Nunggubuyu	Gunwinyguan	Phonology
nuu	Nuuchahnulth	4	Pharyngeals	49.6666666667	-126.666666667	Southern Wakashan	Wakashan	Phonology
nkt	Nyah Kur (Tha Pong)	1	None	15.6666666667	101.666666667	Monic	Austro-Asiatic	Phonology
nyg	Nyangi	1	None	3.41666666667	33.5833333333	Kuliak	Eastern Sudanic	Phonology
nyi	Nyimang	1	None	12.1666666667	29.3333333333	Nyimang	Eastern Sudanic	Phonology
nis	Nyishi	1	None	27.5	93.5	Tani	Sino-Tibetan	Phonology
ood	O'odham	1	None	32.0	-112.0	Tepiman	Uto-Aztecan	Phonology
oca	Ocaina	1	None	-2.75	-71.75	Witoto	Witotoan	Phonology
ogb	Ogbia	3	Labial-velars	4.66666666667	6.25	Central Delta	Niger-Congo	Phonology
oji	Ojibwa (Eastern)	1	None	46.0	-80.0	Algonquian	Algic	Phonology
ond	Oneida	1	None	43.0	-75.6666666667	Northern Iroquoian	Iroquoian	Phonology
orm	Ormuri	1	None	32.5	69.75	Iranian	Indo-European	Phonology
orh	Oromo (Harar)	1	None	9.0	42.0	Lowland East Cushitic	Afro-Asiatic	Phonology
otm	Otomí (Mezquital)	5	'Th' sounds	20.1666666667	-99.1666666667	Otomian	Oto-Manguean	Phonology
pms	Paamese	1	None	-16.5	168.25	Oceanic	Austronesian	Phonology
pac	Pacoh	1	None	16.4166666667	107.083333333	Katuic	Austro-Asiatic	Phonology
pai	Paiwan	1	None	22.5	120.833333333	Paiwan	Austronesian	Phonology
pnr	Panare	1	None	6.5	-66.0	Cariban	Cariban	Phonology
puk	Parauk	1	None	23.25	99.5	Palaungic	Austro-Asiatic	Phonology
psh	Pashto	1	None	33.0	67.0	Iranian	Indo-European	Phonology
psm	Passamaquoddy-Maliseet	1	None	45.0	-67.0	Algonquian	Algic	Phonology
pau	Paumarí	1	None	-6.0	-64.0	Arauan	Arauan	Phonology
paw	Pawaian	1	None	-7.0	145.083333333	Pawaian	Teberan-Pawaian	Phonology
pec	Pech	1	None	15.0	-85.5	Pech	Chibchan	Phonology
prs	Persian	1	None	32.0	54.0	Iranian	Indo-European	Phonology
phl	Phlong	1	None	15.0	99.0	Karen	Sino-Tibetan	Phonology
prh	Pirahã	1	None	-7.0	-62.0	Mura	Mura	Phonology
pit	Pitjantjatjara	1	None	-26.0	130.0	Western Pama-Nyungan	Pama-Nyungan	Phonology
poa	Po-Ai	1	None	-20.6666666667	164.833333333	Oceanic	Austronesian	Phonology
poh	Pohnpeian	1	None	6.88333333333	158.25	Oceanic	Austronesian	Phonology
pol	Polish	1	None	52.0	20.0	Slavic	Indo-European	Phonology
pso	Pomo (Southeastern)	1	None	39.0	-122.5	Pomoan	Hokan	Phonology
pur	Purépecha	1	None	19.5	-101.666666667	Tarascan	Tarascan	Phonology
pae	Páez	1	None	2.66666666667	-76.0	Páezan	Páezan	Phonology
bng	Qaqet	1	None	-4.58333333333	152.0	Baining	Baining	Phonology
qaw	Qawasqar	1	None	-49.0	-75.0	Alacalufan	Alacalufan	Phonology
qco	Quechua (Cochabamba)	5	'Th' sounds	-17.5	-66.0	Quechuan	Quechuan	Phonology
qui	Quileute	1	None	47.9166666667	-124.25	Chimakuan	Chimakuan	Phonology
ram	Rama	1	None	11.75	-83.75	Rama	Chibchan	Phonology
rap	Rapanui	1	None	-27.1166666667	-109.366666667	Oceanic	Austronesian	Phonology
res	Resígaro	1	None	-2.41666666667	-71.5	Japura-Colombia	Arawakan	Phonology
rom	Romanian	1	None	46.0	25.0	Romance	Indo-European	Phonology
rsc	Romansch (Scharans)	1	None	46.75	9.5	Romance	Indo-European	Phonology
ror	Roro	1	None	-8.75	146.583333333	Oceanic	Austronesian	Phonology
rtk	Rotokas	5	'Th' sounds	-6.0	155.166666667	North Bougainville	North Bougainville	Phonology
ruk	Rukai (Tanan)	5	'Th' sounds	22.8333333333	120.833333333	Rukai	Austronesian	Phonology
rus	Russian	1	None	56.0	38.0	Slavic	Indo-European	Phonology
rut	Rutul	4	Pharyngeals	41.5	47.4166666667	Lezgic	Nakh-Daghestanian	Phonology
sab	Sa'ban	1	None	3.66666666667	115.666666667	North Borneo	Austronesian	Phonology
scs	Saami (Central-South)	1	None	64.6666666667	16.75	Saami	Uralic	Phonology
sdw	Sandawe	2	Clicks	-5.0	35.0	Sandawe	Sandawe	Phonology
san	Sango	3	Labial-velars	5.0	18.0	Ubangi	Niger-Congo	Phonology
snm	Sanuma	1	None	4.5	-64.6666666667	Yanomam	Yanomam	Phonology
svs	Savosavo	1	None	-9.13333333333	159.8	Savosavo	Solomons East Papuan	Phonology
seb	Sebei	1	None	1.33333333333	34.5833333333	Southern Nilotic	Eastern Sudanic	Phonology
sed	Sedang	1	None	14.8333333333	108.0	Bahnaric	Austro-Asiatic	Phonology
slp	Selepet	1	None	-6.16666666667	147.166666667	Huon	Trans-New Guinea	Phonology
sel	Selknam	1	None	-53.0	-70.0	Chonan Proper	Chonan	Phonology
skp	Selkup	1	None	65.0	82.0	Samoyedic	Uralic	Phonology
sml	Semelai	1	None	3.0	103.0	Aslian	Austro-Asiatic	Phonology
snd	Senadi	3	Labial-velars	9.5	-6.25	Senufo	Niger-Congo	Phonology
snc	Seneca	1	None	42.5	-77.5	Northern Iroquoian	Iroquoian	Phonology
snt	Sentani	1	None	-2.58333333333	140.583333333	Sentanic	Sentanic	Phonology
sha	Shan	1	None	22.0	98.0	Kam-Tai	Tai-Kadai	Phonology
shs	Shasta	1	None	41.8333333333	-122.666666667	Shasta	Hokan	Phonology
shk	Shipibo-Konibo	1	None	-7.5	-75.0	Panoan	Pano-Tacanan	Phonology
shi	Shiriana	1	None	3.5	-62.8333333333	Yanomam	Yanomam	Phonology
shu	Shuswap	1	None	52.0	-120.0	Interior Salish	Salishan	Phonology
sdh	Sindhi	1	None	26.0	69.0	Indic	Indo-European	Phonology
snh	Sinhala	1	None	7.0	80.5	Indic	Indo-European	Phonology
sin	Siona	1	None	0.333333333333	-76.25	Tucanoan	Tucanoan	Phonology
srn	Sirionó	1	None	-15.5833333333	-64.0	Maweti-Guarani	Tupian	Phonology
sla	Slave	1	None	67.0	-125.0	Athapaskan	Na-Dene	Phonology
som	Somali	4	Pharyngeals	3.0	45.0	Lowland East Cushitic	Afro-Asiatic	Phonology
soq	Soqotri	4	Pharyngeals	12.5	54.0	Semitic	Afro-Asiatic	Phonology
sor	Sora	1	None	20.0	84.3333333333	Munda	Austro-Asiatic	Phonology
spa	Spanish	5	'Th' sounds	40.0	-4.0	Romance	Indo-European	Phonology
squ	Squamish	4	Pharyngeals	49.6666666667	-123.166666667	Central Salish	Salishan	Phonology
sre	Sre	1	None	11.5	108.0	Bahnaric	Austro-Asiatic	Phonology
sue	Suena	1	None	-7.75	147.55	Binanderean	Trans-New Guinea	Phonology
sui	Sui	1	None	26.0	107.5	Kam-Tai	Tai-Kadai	Phonology
